step	auc
0	0.9566419124603271
1	0.9770526885986328
2	0.9835881590843201
3	0.985820472240448
4	0.9880765080451965
5	0.9882404208183289
6	0.9905210137367249
7	0.98976731300354
8	0.991586446762085
9	0.9926717281341553
10	0.9933204650878906
11	0.9932422041893005
12	0.9934453368186951
13	0.994093120098114
14	0.9947158694267273
15	0.9931202530860901
16	0.9949980974197388
17	0.9953374862670898
18	0.995952844619751
19	0.9975634813308716
20	0.9985489249229431
21	0.998609721660614
22	0.9991514086723328
23	0.9990975260734558
24	0.9991359114646912
25	0.9993239045143127
26	0.9994322061538696
27	0.9993457794189453
28	0.9995589256286621
29	0.9994915723800659
