step	recall
0	0.9090439081192017
1	0.9405684471130371
2	0.9465977549552917
3	0.9560723304748535
4	0.9564169049263
5	0.9615848660469055
6	0.9646856188774109
7	0.9643411040306091
8	0.9681309461593628
9	0.9665805101394653
10	0.9720930457115173
11	0.9719207286834717
12	0.9739879369735718
13	0.9836347699165344
14	0.9858742356300354
15	0.9870800971984863
16	0.9877691864967346
17	0.9910421967506409
18	0.9905254244804382
19	0.99086993932724
20	0.9934539198875427
21	0.994143009185791
22	0.9922480583190918
23	0.9950042963027954
24	0.9948320388793945
25	0.9932816624641418
26	0.9939706921577454
27	0.9943152666091919
28	0.9939706921577454
29	0.994143009185791
