step	binary_accuracy
0	0.8964685797691345
1	0.9174849390983582
2	0.9272179007530212
3	0.9335055947303772
4	0.9363479614257812
5	0.9401378035545349
6	0.9425495266914368
7	0.9456502795219421
8	0.9491817355155945
9	0.9503875970840454
10	0.9526270627975464
11	0.9536606669425964
12	0.9562445878982544
13	0.9689922332763672
14	0.9723514318466187
15	0.9750215411186218
16	0.9778639078140259
17	0.9803617596626282
18	0.9808785319328308
19	0.9814814925193787
20	0.9849267601966858
21	0.9867355823516846
22	0.9867355823516846
23	0.9879414439201355
24	0.9877691864967346
25	0.9883720874786377
26	0.989061176776886
27	0.9894918203353882
28	0.9896640777587891
29	0.9900947213172913
