step	loss
0	0.5102699398994446
1	0.2548278272151947
2	0.17417092621326447
3	0.11812549829483032
4	0.09686412662267685
5	0.06151502579450607
6	0.04885410517454147
7	0.05555570870637894
8	0.06347551196813583
9	0.03809847682714462
10	0.03008054383099079
11	0.02607039362192154
12	0.02359156496822834
13	0.020726896822452545
14	0.018796633929014206
15	0.01704283617436886
16	0.01565687730908394
17	0.014494982548058033
18	0.013308086432516575
19	0.012856535613536835
20	0.01241259928792715
21	0.011727527715265751
22	0.011225996538996696
23	0.010764913633465767
24	0.010405906476080418
25	0.009971934370696545
26	0.009889950975775719
27	0.009476007893681526
28	0.009116086177527905
29	0.008863587863743305
